"Specific Product Standard","Product","Quality","Form","Country / Region","Producer Scope","Price level (INCOTERMS)","Currency / Unit","Fairtrade minimum price","Fairtrade premium","Date of validity","Product specific information"
"Fresh Fruit","Acai","Conventional","for processing","Worldwide","SPO / HL","EXW","USD/14 kg","Commercial price","0.73","1/Nov/10",""
"Fresh Fruit","Acai","Conventional","","Worldwide","SPO / HL","EXW","USD/14 kg","Commercial price","0.73","1/Nov/10",""
"Fresh Fruit","Acai","Organic","for drying","Worldwide","SPO","EXW","USD/14 kg","Commercial price","0.73","1/Nov/10",""
"Fresh Fruit","Acai","Organic","for processing","Worldwide","SPO / HL","EXW","USD/14 kg","Commercial price","0.73","1/Nov/10",""
"Fresh Fruit","Acai","Organic","","Worldwide","SPO / HL","EXW","USD/14 kg","Commercial price","0.73","1/Nov/10",""
"Fresh Fruit","Apple","Conventional","for drying","Eastern; Central and Western Asia","SPO","EXW","USD/MT","60","10","21/Nov/11",""
"Fresh Fruit","Apple","Conventional","for drying","Pakistan","CP","EXW","GBP/kg","0.11","0.02","15/Nov/07","excluding transport to processing plant"
"Fresh Fruit","Apple","Conventional","for drying","South Africa","SPO / HL","EXW","USD/MT","60","10","21/Nov/11",""
"Fresh Fruit","Apple","Conventional","for drying","South America","SPO","EXW","USD/kg","0.06","0.01","10/Feb/10",""
"Fresh Fruit","Apple","Conventional","for processing","Eastern; Central and Western Asia and South Africa","SPO / HL","EXW","USD/MT","60","10","21/Nov/11",""
"Fresh Fruit","Apple","Conventional","for processing","South America","SPO / HL","EXW","USD/kg","0.06","0.01","28/Sep/09",""
"Fresh Fruit","Apple","Conventional","Bi-colour: Braeburn","South Africa","SPO / HL","FOB","ZAR/kg","4.67","0.7","21/Mar/05",""
"Fresh Fruit","Apple","Conventional","Bi-colour: Royal Gala & Sundowner","South Africa","SPO / HL","FOB","ZAR/kg","4.27","0.64","21/Mar/05",""
"Fresh Fruit","Apple","Conventional","Green","South Africa","SPO / HL","FOB","ZAR/kg","3.79","0.56","21/Mar/05",""
"Fresh Fruit","Apple","Conventional","Pink Lady","South Africa","SPO / HL","FOB","ZAR/kg","5.23","0.78","21/Mar/05",""
"Fresh Fruit","Apple","Conventional","","South America","SPO / HL","EXW","USD/kg","0.5","0.08","28/Sep/09",""
"Fresh Fruit","Apple","Conventional","","South America","SPO / HL","FOB","USD/kg","0.55","0.08","28/Sep/09",""
"Fresh Fruit","Apple","Organic","for drying","Eastern; Central and Western Asia","SPO","EXW","USD/MT","70","10","21/Nov/11",""
"Fresh Fruit","Apple","Organic","for drying","South Africa","SPO / HL","EXW","USD/MT","70","10","21/Nov/11",""
"Fresh Fruit","Apple","Organic","for drying","South America","SPO","EXW","USD/kg","0.07","0.01","10/Feb/10",""
"Fresh Fruit","Apple","Organic","for processing","Eastern; Central and Western Asia and South Africa","SPO / HL","EXW","USD/MT","70","10","21/Nov/11",""
"Fresh Fruit","Apple","Organic","for processing","South America","SPO / HL","EXW","USD/kg","0.07","0.01","10/Feb/10",""
"Fresh Fruit","Apple","Organic","","South America","SPO / HL","EXW","USD/kg","0.58","0.08","10/Feb/10",""
"Fresh Fruit","Apple","Organic","","South America","SPO / HL","FOB","USD/kg","0.63","0.08","10/Feb/10",""
"Fresh Fruit","Apricot  (Prunus armeniaca L.)","Conventional","for processing","Worldwide","SPO / HL","EXW","-","Commercial price","15% of the commercial price","15/Oct/13",""
"Fresh Fruit","Apricot  (Prunus armeniaca L.)","Conventional","fresh","Worldwide","SPO / HL","EXW","-","Commercial price","15% of the commercial price","15/Oct/13",""
"Fresh Fruit","Apricot  (Prunus armeniaca L.)","Organic","for processing","Worldwide","SPO / HL","EXW","-","Commercial price","15% of the commercial price","15/Oct/13",""
"Fresh Fruit","Apricot  (Prunus armeniaca L.)","Organic","fresh","Worldwide","SPO / HL","EXW","-","Commercial price","15% of the commercial price","15/Oct/13",""
"Fresh Fruit","Avocado","Conventional","for processing; All varieties","Worldwide","SPO / HL","EXW","USD/kg","0.3","0.03","15/Sep/10",""
"Fresh Fruit","Avocado","Conventional","All varieties","Worldwide","SPO / HL","EXW","USD/kg","1.04","0.12","15/Sep/10",""
"Fresh Fruit","Avocado","Conventional","All varieties","Worldwide","SPO / HL","FOB","USD/kg","1.53","0.12","15/Sep/10",""
"Fresh Fruit","Avocado","Organic","for processing; All varieties","Worldwide","SPO / HL","EXW","USD/kg","0.35","0.03","15/Sep/10",""
"Fresh Fruit","Avocado","Organic","All varieties","Worldwide","SPO / HL","EXW","USD/kg","1.16","0.12","15/Sep/10",""
"Fresh Fruit","Avocado","Organic","All varieties","Worldwide","SPO / HL","FOB","USD/kg","1.65","0.12","15/Sep/10",""
"Fresh Fruit","Baby Banana - coastal","Conventional","Fresh; diploid; below altitude of 800 meters above sea level","Worldwide","SPO / HL","EXW","USD/kg","0.53","0.15","18/Nov/11",""
"Fresh Fruit","Baby Banana - coastal","Organic","Fresh; diploid; below altitude of 800 meters above sea level","Worldwide","SPO / HL","EXW","USD/kg","0.7","0.15","18/Nov/11",""
"Fresh Fruit","Baby Banana - mountain","Conventional","Fresh; diploid; above altitude of 800 meters above sea level","Worldwide","SPO / HL","EXW","USD/kg","1.65","0.15","18/Nov/11",""
"Fresh Fruit","Baby Banana - mountain","Organic","Fresh; diploid; above altitude of 800 meters above sea level","Worldwide","SPO / HL","EXW","USD/kg","2.15","0.15","18/Nov/11",""
"Fresh Fruit","Banana","Conventional","for drying","Worldwide","SPO / HL","EXW","USD/MT","107.5","22.5","10/Feb/10",""
"Fresh Fruit","Banana","Conventional","for processing","Worldwide","SPO / HL","EXW","USD/MT","107.5","22.5","12/Feb/16",""
"Fresh Fruit","Banana","Conventional","Fresh","ACP countries without country specific prices","SPO / HL","EXW","USD/18.14 kg","7.75","1","1/Jan/20",""
